750,1.7778,1.37
741.02,1.83,1.3315
732.25,1.8844,1.2633
723.68,1.9407,1.1555
715.32,1.9988,1.0081
707.14,2.0595,0.83189
699.15,2.1235,0.65138
691.34,2.19,0.50487
683.7,2.2567,0.41838
676.23,2.3205,0.39209
668.92,2.3739,0.41751
661.76,2.3944,0.4902
654.76,2.3233,0.6069
647.91,2.0586,0.76003
641.19,1.6653,0.93731
634.62,1.4505,1.1245
628.17,1.4244,1.308
621.86,1.4837,1.4773
615.67,1.5714,1.6263
609.61,1.663,1.7543
603.66,1.7495,1.8645
597.83,1.8293,1.9604
592.11,1.9026,2.0442
586.49,1.9697,2.1176
580.99,2.0309,2.1828
575.58,2.0871,2.242
570.28,2.1395,2.2964
565.07,2.1887,2.346
559.95,2.2349,2.3911
554.93,2.2783,2.4333
550,2.3195,2.4734
